titre,auteur,type,genre,annee,serie,volume,dispo
La bonne adresse,Camoletti Marc,Théâtre,,,,,1
Spirale de malchance,Campbell Ramsey ,Roman,SF,,,,1
La chute,Camus Albert,Roman,Classique,,,,1
L'aliéniste,Carr Caleb ,Roman,Polar,,,,0
L'irlandaise,Cash Spellmanh Cathy ,Roman,Fiction,,,,1
La comédie anglaise au XXe siècle,Catsiapis Hélène,Théâtre,,,,,1
La royauté anglaise au 20eme siècle,Catsiapis Hélène ,Doc,Histoire,,,,0
Les luminaires,Catton Eleanor ,Roman,Polar,,,,0
L'amour aveugle,Cauvin Patrick ,Roman,Fiction,,,,1
Pythagore je t'adore,Cauvin Patrick ,Roman,Fiction,,,,1
Les Ogres du Gange - le siècle de chimères,Cavalier Philippe ,Roman,SF,1957,,,1
Mort à crédit,Céline Louis-Ferdinand ,Roman,Classique,,,,1
Chiens perdus sans collier,Cesbron Gilbert ,Roman,Fiction,,,,1
Chiens perdus sans collier,Cesbron Gilbert ,Roman,Fiction,,,,1
Texaco,Chamoiseau Patrick ,Roman,Fiction,,,,1
Les tigres d'Allah,Chandra Vikram ,Roman,Fiction,,,,1
Le sixième jour,Chedid Andrée ,Roman,Fiction,,,,1
L'ogre,Chessex Jacques ,Roman,Fiction,,,,1
Mascarade,Chevallier Gabriel ,Roman,Fiction,,,,1
Dix petits nègres,Christie Agatha ,Roman,Polar,,,,1
Le crime de l'orient express,Christie Agatha ,Roman,Polar,,,,0
N ou M ?,Christie Agatha ,Roman,Polar,,,,0
City of Bones,Clare Cassandra ,Roman,Étranger,,The mortal instruments,1,0
Dors ma jolie,Clark Mary Higgins ,Roman,Polar,,,,0
La nuit du renard,Clark Mary Higgins ,Roman,Polar,,,,0
Le démon du passé,Clark Mary Higgins ,Roman,Polar,,,,0
Recherche jeune femme aimant danser,Clark Mary Higgins ,Roman,Polar,,,,0
Vous ne devinerez jamais,Clark Mary Jane ,Roman,Polar,,,,0
Base Venus la lune de diamant,Clarke Arthur C.,Roman,SF,,Base Venus,5,1
Base Venus les lumineux,Clarke Arthur C.,Roman,SF,,Base Venus,6,1
Base Venus Maleström,Clarke Arthur C.,Roman,SF,,Base Venus,2,1
2001 l'odyssée de l'espace,Clarke Arthur C.,Roman,SF,,,,1
2061 : Odyssée trois,Clarke Arthur C.,Roman,SF,,,,1
2010 : Odyssée deux,Clarke Arthur C.,Roman,SF,,,,1
Rendez vous avec rama,Clarke Arthur C.,Roman,SF,,,,1
Jonathan Strange & Mr Norrell,Clarke Susanna ,Roman,SF,,,,0
Jonathan Strange and Mr Norrel,Clarke Susanna ,Roman,Étranger,,,,0
Les âmes grises,Claudel Philippe ,Roman,Fiction,,,,1
L'homme du labrador,Clavel Bernard,Roman,Classique,,,,1
Les mémoires de Fanny Hill,Cleland John,Roman,Classique,,,,1
Comment j'ai arrêté de manger des animaux,Clément Hugo ,Doc,Psycho,,,,0
La difficulté d'être,Cocteau Jean ,Essai,Philosophie,,,,0
La maison du sommeil,Coe Jonathan ,Roman,Polar,,,,0
Le zahir,Coelho Paulo ,Roman,Fiction,,,,1
Elémentaire mon cher watson,Colin Bruce,Roman,Polar,,,,0
L'étrange affaire du chat de madame Hudson,Colin Bruce,Roman,Polar,,,,0
Mocking jay,Colinns Suzanne ,Roman,Fantastique,,Hunger games,2,1
Catching fire,Colinns Suzanne ,Roman,Fantastique,,Hunger games,1,1
1914-1918 : français et allemands dans les tranchées,Collectif,Roman,Guerre,,,,0
La drôle de paix,Collectif,Roman,Guerre,,,,0
