titre,auteur,type,genre,annee,serie,volume,dispo
Petit piment,Mabanckou Alain ,Roman,Fiction,,,,1
Le disparu,Maclean Katherine ,Roman,Polar,,,,0
Pélagie-la-charrette,Maillet Antonine ,Roman,Fiction,,,,1
Invasion cosmique,Maine David ,Roman,SF,,,,1
La condition humaine,Malraux,Roman,Classique,,,,1
Daisy sisters,Mankell Henning ,Roman,Polar,,,,1
Yeruldelgger,Manook Ian,Roman,Polar,,,,1
24 ans de communisme à la Prussienne,Marin Nicolas ,Roman,Histoire,,,,0
La double inconstance,Marivaux,Théâtre,,,,,1
On est foutus on pense trop,Marquis Serge,Doc,Psycho,,,,0
Underwood USA,Martens Michel ,Roman,Polar,,,,0
Intrigues à Port-Réal,Martin George R.R. ,Roman,SF,,Le trône de fer,6,1
Chanson pour Lya,Martin George R.R. ,Roman,SF,,,,1
Des astres et des ombres,Martin George R.R. ,Roman,SF,,,,1
Le trône de fer l'intégrale 2,Martin George R.R. ,Roman,SF,,Le trône de fer,2,1
Titan,Varley John,Roman,SF,,,,1
Sorcière,Varley John,Roman,SF,,,,1
Plumards, de cheval,Marx Groucho ,Roman,Fiction,,,,1
La sombra del templario,Masot Nuria ,Roman,Étranger,,,,0
Le sud tunisien,Massé-Muzi Nicole ,Doc,Géographie,,,,0
La Vénus anatomique,Maumejean Xavier ,Roman,SF,,,,1
Contes de la bécasse,Maupassant,Roman,Classique,,,,1
La maison Tellier,Maupassant,Roman,Classique,,,,1
Les contes de la bécasse,Maupassant,Roman,Classique,,,,1
Une partie de campagne,Maupassant,Roman,Classique,,,,1
Le sagouin,Mauriac François,Roman,Classique,,,,1
Transatlantic,McCann Colum ,Roman,Fiction,,,,1
Le gadget de l'Apocalyspe,Varende Yves,Roman,Fiction,,,,1
Sicile (Michelin),Michelin,Doc,Tourisme,,,,0
The crucible,Miller Arthur ,Roman,Étranger,,,,0
L'amant,Mireille Sorgue,Roman,Fiction,,,,1
Autant en emporte le vent,Mitchell Margaret ,Roman,Classique,,,3,1
Autant en emporte le vent,Mitchell Margaret ,Roman,Classique,,,2,1
Autant en emporte le vent,Mitchell Margaret ,Roman,Classique,,,1,1
Gone with the Wind,Mitchell Margaret ,Roman,Étranger,,,,1
Tir aux pigeons,Mitford Nancy ,Roman,Fiction,,,,1
L'avare,Molière,Théâtre,,,,,1
Le bourgeois gentilhomme,Molière,Théâtre,,,,,1
Le mariage forcé & L'étourdi,Molière,Théâtre,,,,,1
Les femmes savantes,Molière,Théâtre,,,,,1
Essais,Montaigne,Essai,Philosophie,,,1,0
Anne ... La maison aux pignons verts,Montgomery Lucy Maud ,Roman,Fiction,,,,1
Anne d'Avonlea,Montgomery Lucy Maud ,Roman,Fiction,,,,1
Elric des dragons le cycle d'elric,Moorcock Michael ,Roman,SF,,,,1
L'épée Noire le cycle d'elric,Moorcock Michael ,Roman,SF,,,,1
Agostino,Moravia Alberto,Roman,Fiction,,,,1
Carbone modifié,Morgan Richard ,Roman,SF,,,,0
La mer sans étoiles,Morgenstern Erin,Roman,,,,,1
1Q84,Murakami Haruki ,Roman,Polar,,,,0
Cold & Electric,Murphy Elliott ,Roman,Fiction,,,,1
Lolita,Nabokov Vladimir,Roman,Classique,,,,1
Americanah,Ngozi Adichie Chimamanda ,Roman,Fiction,,,,1
Ce qui compte vraiment,Nicolino Fabrice ,Roman,,,,,1
La crève,Nourissier François ,Roman,Fiction,,,,1
L'Histoire du monde en neuf guitares,Orsenna Erik,Roman,Classique,,,,1
Animal farm,Orwell George ,Roman,Étranger,,,,0
Témoignage irrecevable,Osborne John,Théâtre,,,,,1
L'asticot,Ouachee Bruno ,Roman,Fiction,,,,1
Là où chantent les écrevisses,Owens Delia ,Roman,,,,,1
Petits suicides entre amis,Paasilinna Arto ,Roman,Fiction,,,,1
Un detective à la havane,Padura Leonardo ,Roman,Polar,,,,0
Jean de Florette,Pagnol Marcel,Roman,Classique,,,,1
Manon des sources,Pagnol Marcel,Roman,Classique,,,,1
L'éveil,Papin Line ,Roman,Classique,,,,1
Autobiographie d'une courgette,Paris Gilles ,Roman,Fiction,,,,1
L'été de la peur,Parker T. Jefferson ,Roman,Polar,,,,0
Et tombent les filles,Patterson James ,Roman,Polar,,,,0
Le phare d'un monde flottant,Payne David ,Roman,Fiction,,,,1
Tranchecaille,Pécherot Patrick ,Roman,Guerre,,,,0
Le Ku Klux Klan,Peirce Randel William ,Doc,Histoire,,,,0
Le barillet,Pelaez Jean-Pierre,Théâtre,,,,,1
Le ciel bleu d'irockee,Pelot Pierre ,Roman,SF,,,,1
Le chien courait sur l'autoroute en criant son nom,Pelot Pierre ,Roman,SF,,,,1
Transite,Pelot Pierre ,Roman,SF,,,,1
Le Sourire des Crabes,Pelot Pierre ,Roman,SF,,,,1
Le Sourire des Crabes,Pelot Pierre ,Roman,SF,,,,1
Au bonheur des ogres,Pennac Daniel,Roman,Classique,,,,1
Aux fruits de la passion,Pennac Daniel,Roman,Classique,,,,1
Merci,Pennac Daniel ,Roman,Fiction,,,,1
Renaissance navale,Perchoc Michel ,doc,Technologie,,,,0
Carnet de Guerre,Pergaud Louis ,Roman,Guerre,,,,0
Les sanglots longs,Pérrault Gilles ,Roman,Fiction,,,,1
Les grandes pointures de l'Histoire,Perret Pierre ,Roman,Histoire,,,,0
Conan l'indomptable,Perry Steve,Roman,SF,,Conan,,1
Un crocodile sur un banc de sable,Peters Elizabeth,Roman,,,,,1
La rue,Petry Anne ,Roman,Guerre,,,,0
Le livre des exercices à l'usage des acteurs,Pezin Patrick,Théâtre,,,,,1
Les rendez-vous de la colline,Philipe Anne ,Roman,Fiction,,,,1
Vocabulaire anglais courant,Piat Jean-Bernard ,DOc,Langues,,,,0
Le champ de personne,Picouly Daniel ,Roman,Fiction,,,,1
l'amour en vogue,Pivot Bernard,Roman,Classique,,,,1
La cloche de détresse,Plath Sylvia ,Roman,Fiction,,,,1
Le marquis de saint Leger,Ponthier Francois ,Roman,Fiction,,,,1
Frankie va à hollywood,Potter Alexandra ,Roman,Fiction,,,,1
La dame de pique,Pouchkine Alexandre,Roman,Classique,,,,1
Récits,Pouchkine Alexandre,Roman,Classique,,,,1
Les chevaliers de la brune,Powers Tim,Roman,SF,,,,1
Knights of madness,Pratchett Terry,Roman,Étranger,,,,0
La huitième couleur,Pratchett Terry,Roman,SF,,,,1
Monstrous Regiment,Pratchett Terry,Roman,Étranger,,,,0
La chambre des curiosités,Preston Douglas ,Roman,Polar,,,,0
Paroles,Prévert Jacques ,Roman,Classique,,,,1
La fontaine petrifiante,Priest Christopher ,Roman,SF,,,,1
Le pré aux narcisses,Prou Suzanne ,Roman,Fiction,,,,1
Du côté de chez Swann,Proust Marcel,Roman,,,,,1
Le chiendent,Queneau Raymond,Roman,Classique,,,,1
Zazie dans le métro,Queneau Raymond,Roman,Classique,,,,1
Esther,Racine Jean,Théâtre,,,,,1
Les Plaideurs,Racine Jean,Théâtre,,,,,1
Andromaque,Racine Jean ,Théâtre,,,,,1
Tels des loups affamés,Rankin Ian,Roman,,,,,1
La montagne volante,Ransmayr Christophe ,Roman,SF,,,,0
Conjuration Casanova,Ravenne Giacometti ,Roman,Thriller,,,,1
le livre des fantômes,Ray Jean ,Roman,Fantastique,,,,1
Histoire d'O,Réage Pauline,Roman,Classique,,,,1
L'ennemi,Remarque Erich Maria ,Roman,Guerre,,,,0
Le pont sur la ligne,Remy Jean-Pierre,Roman,Guerre,,,,0
Le Roman de Renard,Renart,Roman,Classique,,,,1
Les rois du petrole,Renberg Tore ,Roman,Fiction,,,,0
Le maître de la lande,Rendell Ruth ,Roman,Polar,,,,0
13 à table!,Resto du coeur,Roman,Fiction,,,,1
L'homme-dé,Rhinehart Luke ,Roman,Polar,,,,0
L'art de la méditation,Ricard Matthieu ,Doc,Psycho,,,,0
Interview with the vampire,Rice Anne ,Roman,Étranger,,,,0
Quand resurgit le passé,Richards Elizabeth ,Roman,Fiction,,,,1
Le dieu Jaune,Rider Haggard Henri,Roman,SF,,,,1
Pêcheur de trésors,Riesberg Harry,Roman,,,,,1
Present danger,Rimington Stella ,Roman,Étranger,,,,1
Discours sur l'universalité de la langue française,Rivarol,Essai,Philosophie,,,,0
Stiletto,Robbins Harold ,Roman,Polar,,,,0
Roland est mort,Robin Nicolas ,Roman,,,,,1
Les petits enfants du siècle,Rochefort Christiane ,Roman,Fiction,,,,1
Le rescapé du gorisankar,Piret Daniel,Roman,,,,,1
Quand le navire...,Romains Jules ,Roman,Fiction,,,,1
Piaf l'inoubliable,Routier Marcelle ,Doc,Musique,,,,0
Guêpe,Russel Eric Frank,Roman,SF,,,,1
Educating rita,Russel Willy ,Roman,Étranger,,,,0
Un rôle qui me convient,Russo Richard ,Roman,Fiction,,,,1
Impératrice,Sa Shan ,Roman,Fiction,,,,1
Scaramouche,Sabatini Rafael,Roman,Classique,,,,1
Le jardin de la licorne,Sadoul Jacques ,Roman,SF,,,,1
Bonjour tristesse,Sagan Françoise ,Roman,Fiction,,,,1
Port-Royal,Sainte-Beuve Charles-Agustin,Roman,Classique,,,1,1
L'attrape-coeurs,Salinger J. D.,Roman,Classique,,,,0
Heureux qui communique,Salomé Jacques ,Doc,Psycho,,,,0
Huis clos les mouches,Sartre Jean-Paul,Théâtre,,,,,1
La nausée,Sartre Jean-Paul ,Roman,,,,,1
Le boa aux fraisses suivi de La brouette russe,Sauvil Pierre ,Théâtre,,,,,1
Le prince inconstant,Scalfari Eugenio ,Roman,Histoire,,,,0
Le disque rayé,Steiner Kurt,Roman,SF,,,,1
Le livre d'or de la science Fiction,Sheckley Robert ,Roman,SF,,,,1
Une femme au pays des hommes politiques,Schmid Lucille ,Roman,Histoire,,,,0
La part de l'autre,Schmitt Eric-Emmanuel ,Roman,,,,,1
Les Fleurs sauvages de bougainvilliers,Scholes Katherine ,Roman,,,,,1
Melanie Klein : Developpement d'une pensée,Segal Hanna ,Essai,Philosophie,,,,0
La malvenue,Seignolle Claude ,Roman,SF,,,,1
Le neveu d'Amérique,Sepulveda Luis ,Roman,Fiction,,,,1
Le vieux qui lisait des Romans d'amour,Sepulveda Luis ,Roman,Fiction,,,,1
Hamlet / Othello / Macbeth,Shakespeare,Théâtre,,,,,1
Macbeth,Shakespeare,Théâtre,,1997,,,0
Richard III / Roméo et Juliette / Hamlet,Shakespeare,Théâtre,,,,,1
Frankenstein,Shelley Mary ,Roman,SF,,,,1
Le robot qui me ressemblait,Sheckley Robert,Roman,SF,,,,1
asburdistan,Shteyngart Gary ,Roman,,,,,1
Le dernier rivage,Shute Nevil ,Roman,SF,,,,1
Balzac et la petite tailleuse chinoise,Sijie Dai,Roman,Classique,,,,1
Le fils de l'homme,Silverberg Robert ,Roman,SF,,,,1
Les chants de l'été,Silverberg Robert ,Roman,SF,,,,1
Demain les chiens,Simak Clifford D. ,Roman,Fiction,,,,1
Une certaine odeur,Simak Clifford D. ,Roman,SF,,,,1
au rendez vous des terre-neuvas,Simenon Georges,Roman,Polar,,,,0
Chez les flamands,Simenon Georges,Roman,Polar,,,,0
L'affaire saint fiacre,Simenon Georges,Roman,Polar,,,,0
L'âne rouge,Simenon Georges,Roman,Polar,,,,0
L'homme de Londres,Simenon Georges,Roman,Polar,,,,0
L'ombre chinoise,Simenon Georges,Roman,Polar,,,,0
La danseuse du gai moulin,Simenon Georges,Roman,Polar,,,,0
La ginguette à deux sous,Simenon Georges,Roman,Polar,,,,0
la maison du canal,Simenon Georges,Roman,Polar,,,,0
La tête d'un homme,Simenon Georges,Roman,Polar,,,,0
Le chartier de la providence,Simenon Georges,Roman,Polar,,,,0
Le chien jaune,Simenon Georges,Roman,Polar,,,,0
Le fou de Bergerac,Simenon Georges,Roman,Polar,,,,0
Le haut mal,Simenon Georges,Roman,Polar,,,,0
Le locataire,Simenon Georges,Roman,Polar,,,,0
Le passager du Polarlys,Simenon Georges,Roman,Polar,,,,0
Le relai d'Alsace,Simenon Georges,Roman,Polar,,,,0
Les 13 coupables,Simenon Georges,Roman,Polar,,,,0
Les fiancailles de M.Hire,Simenon Georges,Roman,Polar,,,,0
Les gens d'en face,Simenon Georges,Roman,Polar,,,,0
Les nuits du carrefour,Simenon Georges,Roman,Polar,,,,0
liberty bar,Simenon Georges,Roman,Polar,,,,0
Maigret,Simenon Georges,Roman,Polar,,,,0
Maigret à New York,Simenon Georges,Roman,Polar,,,,0
Maigret et la vieille dame,Simenon Georges,Roman,Polar,,,,0
Marie qui louche,Simenon Georges,Roman,Polar,,,,0
Mr Gallet est décédé,Simenon Georges,Roman,Polar,,,,0
pietr le letton,Simenon Georges,Roman,Polar,,,,0
Un crime en Hollande,Simenon Georges,Roman,Polar,,,,0
L'amour est au bout du voyage,Slaughter Frank G. ,Roman,Fiction,,,,1
Le sang du dragon,Slaughter Frank G. ,Roman,Fiction,,,,1
Ombres sur le Kremlin,Slavinski Michel ,Roman,Guerre,,,,0
La quête des trois mondes,Smith Cordwainer ,Roman,SF,,Les seigneurs de l'intrumentalité,6,1
Le sous-peuple,Smith Cordwainer ,Roman,SF,,Les seigneurs de l'intrumentalité,5,1
Le rêveur aux étoiles,Smith Cordwainer ,Roman,SF,,Les seigneurs de l'intrumentalité,2,1
Tu seras un autre,Smith Cordwainer ,Roman,SF,,Les seigneurs de l'intrumentalité,1,1
L'étoile du chien qui attend son repas,Sok-yong Hwang ,Roman,Fiction,,,,1
La maison de matriona,Soljenitsyne Alexandre,Roman,Fiction,,,,1
Le vaisseau de pierre,Solomon Andrew ,Roman,Fiction,,,,1
The razor's edge,Somerset Maugham William,Roman,Étranger,,,,0
Au coeur de l'orage,Spinrad Norman ,Roman,SF,,,,1
Les miroirs de l'esprit,Spinrad Norman ,Roman,SF,,,,1
Provence,St George Amelia ,Doc,Géographie,,,,0
L'ange de la douleur,Stableford Brian ,Roman,SF,,,,1
Miracle,Steel Danielle ,Roman,Fiction,,,,1
Brouillages,Stefansson Jon Hallur,Roman,Polar,,,,0
Des souris et des hommes,Steinbeck John,Roman,Classique,,,,1
Les raisins de la colère,Steinbeck John,Roman,Classique,,,,1
La chartreuse de Parme,Stendhal,Roman,Classique,,,,1
Le rouge et le noir,Stendhal,Roman,Classique,,,,1
L'île au trésor,Stevenson R.L. ,Roman,,,,,1
Dracula,Stoker Bram ,Roman,SF,,,,1
La vague,Strasser Tod,Roman,,,,,1
La Troïka,Strougatsky Arcadie et Boris ,Roman,SF,,,,1
Les délices de Tokyo,Sukegawa Durian ,Roman,Fiction,,,,1
Le parfum,Süskind Patrick,Roman,Classique,,,,1
Les voyages de Gulliver,Swift Jonathan,Roman,Classique,,,,1
La belle endormie,Tepper Sheri S. ,Roman,SF,,,,1
La mémoire fantôme,Thilliez Frank ,Roman,Polar,,,,0
Modern short stories,Thornley G.C. ,Roman,Étranger,,,,0
Les aventures de Tom Bonbadil,Tolkien J.R.R.,Roman,SF,,,,1
Le retour du roi,Tolkien J.R.R. ,Roman,Fantastique,,,3,1
Le retour du roi,Tolkien J.R.R. ,Roman,Fantastique,,,3,1
Les deux tours,Tolkien J.R.R. ,Roman,Fantastique,,,2,1
la communauté de l'anneau,Tolkien J.R.R. ,Roman,Fantasy,,le seigneur des anneaux,1,0
Le retour du roi,Tolkien J.R.R. ,Roman,Fantasy,,Le seigneur des anneaux,3,0
Le seigneur des anneaux : l'intégrale,Tolkien J.R.R. ,Roman,Fantasy,,le seigneur des anneaux,,1
Les deux tours,Tolkien J.R.R. ,Roman,Fantasy,,Le seigneur des anneaux,2,0
Anna Karenine,Tolstoï,Roman,Classique,,,,1
La conjuration des imbéciles,Toole John Kennedy ,Roman,Fiction,,,,1
Nihal de la Terre du Vent,Troisi Licia ,Roman,Fantasy,,Chroniques du monde émergé,1,1
Le livre de Joe,Tropper Jonathan ,Roman,Fiction,,,,1
L'Araigne,Troyat Henri,Roman,Classique,,,,1
La neige en deuil,Troyat Henri,Roman,Classique,,,,1
Les dames de Sibérie,Troyat Henri,Roman,Classique,,,,1
Viou,Troyat Henri,Roman,Classique,,,,1
La ferme,Updike John ,Roman,Fiction,,,,1
Silence,Vacher Jeanne Martine ,Roman,Polar,,,,0
Le Canal O Phite,Varley John,Roman,SF,,,,1
Ouest,Vallejo François ,Roman,Fiction,,,,1
Le fou des échecs,Van Dine S.,Roman,Fiction,,,,1
Les cinq rubans d'or,Vance Jack ,Roman,SF,,,,1
Marune: Alastor 933,Vance Jack ,Roman,SF,,,,1
Quand sort la recluse,Vargas Fred ,Roman,Polar,,,,0
Les arbres de Jardin,Vavassori Andrea,Doc,Jardinage,,,,0
La machine de Balmer,Veillot Claude ,Roman,SF,,,,1
Zoo ou l'assassin philanthrope,Vercors Jean,Théâtre,,,,,1
La discothèque parfaite de l'odyssée du rock,Verland Gilles  et Caussé Thomas ,Doc,Musique,,,,0
Il est de retour,Vermes Timur ,Roman,Fiction,,,,1
L'île mystèrieuse,Verne Jules ,Roman,Classique,,,,1
Vingt mille lieues sous les mers,Verne Jules ,Roman,Classique,,,,1
Voyage au centre de la Terre,Verne Jules ,Roman,Classique,,,,1
L'écume des jours,Vian Boris,Roman,Classique,,,,1
Les bâtisseurs d'empire,Vian Boris,Roman,Classique,,,,1
Savez-vous langer Léon ?,Visdei Anca,Théâtre,,,,,1
La mythologie grecque,Vivier Frédérique ,Doc,Histoire,,,,0
Livret d'exercices Integration et espaces de Lebesgue,Vo Khac Khoan ,Doc,Maths,,,,0
Livret d'exercies Théorie de la mesure,Vo Khac Khoan ,Doc,Maths,,,,0
Candide,Voltaire,Roman,Classique,,,,1
La vénus à la fourrure,Von Sacher-Masoch Leopold,Roman,Fiction,,,,1
Jeu blanc,Wagamese Richard ,Roman,Fiction,,,,1
Livret d'exercices Integration,Wagschal Claude ,Doc,Maths,,,,0
Le désir d'amour,Wellershop Dieter ,Roman,Fiction,,,,1
L'empire des anges,Werber Bernard ,Roman,Fiction,,,,1
nous les dieux,Werber Bernard ,Roman,Fantastique,,,,1
L'importance d'être constant,Wilde Oscar,Théâtre,,,L'avant-scène,981,1
Le grand livre,Willis Connie,Roman,SF,1993,,,1
La mémoire de l'ombre,Wilhem Kate ,Roman,Fiction,,,,1
Jestak,Williams Paul O.,Roman,SF,,,,1
La galerie des glaces,Wilson John Rowan ,Roman,Fiction,,,,1
La cinquieme tête de cerbère,Wolfe Gene ,Roman,SF,,,,1
Avis de grand frais,Wolff Isabel ,Roman,Fiction,,,,1
Mrs Dalloway,Woolfe Virginia,Roman,Classique,,,,1
Une odeur de gingembre,Wynd Oswald ,Roman,Fiction,,,,1
Le temps cassé,Wyndham John ,Roman,SF,,,,1
Cité de la poussière rouge,Xiaolong Qiu ,Roman,Fiction,,,,1
Je t'ai rêvé,Zappia Francesca ,Roman,Fiction,,,,1
La fiancée de l'an passé,Zateli Zyranna,Roman,Fiction,,,,1
L'enfant tombé de nulle part,Zelazny Roger ,Roman,SF,,,,1
L'homme qui n'existait pas,Zelazny Roger ,Roman,SF,,,,1
Un pont de cendres,Zelazny Roger ,Roman,SF,,,,1
Les dames du lac,Zimmer Bradley Marion,Roman,Classique,,,,1
Chicago en quelques jours,Zimmerman Karla ,Doc,Tourisme,,,,0
On writing well,Zinsser William ,Roman,Étranger,,,,0
L'amour d'Erika Ewald,Zweig Stefan,Roman,Étranger,,,,0
Le monde d'hier,Zweig Stefan,Roman,Classique,,,,1
La confusion des sentiments,Zweig Stefan,Roman,Classique,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
